id,locality,type_of_property,subtype_of_property,type_of_sale,price,number_of_bedrooms,surface,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_surface,garden,garden_surface,land_surface,number_of_facades,swimming_pool,state_of_the_building
9943738,Messancy Wolkrange,HOUSE,COUNTRY_COTTAGE,residential_sale,270000,4,170,0,0,0,1,None,0,None,890,3,0,GOOD
10122749,MONT-SAINT-GUIBERT,HOUSE,HOUSE,residential_sale,275000,3,135,0,0,0,1,None,1,None,345,2,0,GOOD
10071170,Hoegaarden,HOUSE,HOUSE,residential_sale,275000,3,198,0,0,1,0,None,0,None,661,2,0,TO_BE_DONE_UP
9874158,Marchin,HOUSE,HOUSE,residential_sale,275000,6,368,0,0,0,1,None,1,None,1655,3,0,GOOD
10119240,De Haan,HOUSE,HOUSE,residential_sale,275000,2,184,None,0,0,1,None,1,None,121,,0,TO_BE_DONE_UP
10098842,Ronse,HOUSE,HOUSE,residential_sale,275000,3,144,0,0,0,1,None,1,None,247,3,0,AS_NEW
10013623,Willebroek,HOUSE,HOUSE,residential_sale,280000,3,105,0,0,0,1,None,1,None,120,2,0,
10128070,Etterbeek,APARTMENT,FLAT_STUDIO,residential_sale,240000,1,70,0,0,0,0,None,0,None,None,,0,TO_BE_DONE_UP
10128073,Etterbeek,APARTMENT,FLAT_STUDIO,residential_sale,275000,0,67,0,0,0,0,None,0,None,None,,0,TO_BE_DONE_UP
10129955,Stabroek,APARTMENT,APARTMENT,residential_sale,284000,2,96,1,0,0,1,None,0,None,None,2,0,AS_NEW
10129946,Stabroek,APARTMENT,APARTMENT,residential_sale,289000,2,96,1,0,0,1,None,0,None,None,2,0,AS_NEW
10100362,Genappe,APARTMENT,APARTMENT,residential_sale,315000,2,125,0,0,0,0,None,1,None,None,,0,AS_NEW
10128772,Uccle,APARTMENT,APARTMENT,residential_sale,425000,2,105,0,0,0,1,None,0,None,None,3,0,AS_NEW
10128075,Etterbeek,APARTMENT,APARTMENT,residential_sale,590000,2,156,0,0,0,1,None,0,None,None,,0,TO_RENOVATE
10128496,Antwerp,APARTMENT,APARTMENT,residential_sale,749000,2,163,1,0,0,1,None,0,None,,3,0,AS_NEW
10133317,SAINT-GHISLAIN,APARTMENT,DUPLEX,residential_sale,170000,2,70,0,0,0,0,None,0,None,None,2,0,JUST_RENOVATED
10133315,SAINT-GHISLAIN,APARTMENT,APARTMENT,residential_sale,170000,2,70,0,0,0,0,None,0,None,None,2,0,JUST_RENOVATED
10133304,Tournai,APARTMENT,APARTMENT,residential_sale,239000,3,136,0,0,0,1,None,0,None,None,,0,AS_NEW
10136250,Zoutleeuw,APARTMENT,APARTMENT,residential_sale,251000,2,81,0,0,0,1,None,0,None,,2,0,AS_NEW
10148379,Blankenberge,APARTMENT,APARTMENT,residential_sale,251000,1,45,None,1,0,1,None,0,None,,,0,AS_NEW
10136253,Zoutleeuw,APARTMENT,APARTMENT,residential_sale,266000,1,85,0,0,0,1,None,0,None,,2,0,AS_NEW
10136251,Zoutleeuw,APARTMENT,DUPLEX,residential_sale,356000,3,145,0,0,0,1,None,0,None,,2,0,AS_NEW
